区分,内容
言える,C2025AUG / 2025-08-04 は、40bで複数端末のcore/support clusterとして残った。
言える,42/42bで Trial / A-B / cohort overlap は説明変数として残り、direct triald系も複数端末で確認された。
言える,43で cloud_trust / policy_restriction / lateral_trust / backup_manifest の trust lineage shadow が複数端末で重なった。
言える,44で backup / Manifest / RTCR / Snapshot 系の inheritance shadow が一部端末で重なった。
言える,45で物理接触説明が残る端末と、cloud/trust側説明が必要になる端末を分離できた。
言える,46で evidence pressure / preservation difficulty 系が複数端末で重なった。
言える,47で利用可能なcontrol/low-exposure候補は同密度を再現せず、generic iOS noise説明は弱体化した。
言えない,Trial悪用確定ではない
言えない,A/B攻撃確定ではない
言えない,Apple Trial原因確定ではない
言えない,Apple server-side trust graph の直接証明ではない
言えない,Family Sharing悪用確定ではない
言えない,trusted device追加確定ではない
言えない,backup汚染確定ではない
言えない,restore継承確定ではない
言えない,Manifest.db改ざん確定ではない
言えない,証拠保存妨害の意図確定ではない
言えない,Remote command確定ではない
言えない,hidden MDM確定ではない
言えない,Apple関与確定ではない
言えない,国家関与確定ではない
言えない,攻撃者特定ではない
採用表現,condition-triggered mobile LOTL-like Apple platform-state anomaly
採用表現,C2025AUG lateral trust cluster + Trial/A-B cohort explanatory variable
採用表現,normal-first / falsifiable / non-attribution local artifact model
禁止表現,Trialが攻撃基盤そのもの
禁止表現,全10/11台が同じ強度で感染確定
