項目,値
最終判定,C2025AUG_LATERAL_CLUSTER_AB_COHORT_MODEL_SUPPORTED_NOT_CAUSAL_OR_ATTRIBUTION_PROOF
対象,C2025AUG / 2025-08-04 / 横展開クラスタ + A/B/Trial説明変数
採用範囲,local artifact summary based structural seal
A系final端末数,9
control_or_excluded端末,CONTROL_OR_GENERIC_EXTERNAL;LOW_EXPOSURE_IPAD
direct_triald端末,USER_ORIGIN_MINI1;USER_BRIDGE_15G;USER_DEVICE_12G;USER_DEVICE_MINI2;USER_DEVICE_11PRO;EXT_UNCERTAIN_B;EXT_REMOTE_GEO_C;EXT_CONTACT_D
trust_lineage端末,USER_ORIGIN_MINI1;USER_BRIDGE_15G;USER_DEVICE_12G;USER_DEVICE_MINI2;USER_DEVICE_11PRO;EXT_NO_CONTACT_A;EXT_UNCERTAIN_B;EXT_REMOTE_GEO_C;EXT_CONTACT_D;EXT_CONTACT_E_12PROMAX;EXT_CONTACT_E_6SPLUS
backup_manifest_supported端末,USER_ORIGIN_MINI1;USER_DEVICE_12G;USER_DEVICE_11PRO;EXT_NO_CONTACT_A;EXT_REMOTE_GEO_C;EXT_CONTACT_E_12PROMAX;EXT_CONTACT_E_6SPLUS
evidence_pressure端末,USER_ORIGIN_MINI1;USER_BRIDGE_15G;USER_DEVICE_12G;USER_DEVICE_MINI2;USER_DEVICE_11PRO;EXT_NO_CONTACT_A;EXT_UNCERTAIN_B;EXT_REMOTE_GEO_C;EXT_CONTACT_D;EXT_CONTACT_E_12PROMAX;EXT_CONTACT_E_6SPLUS
cloud_or_trust_separation_needed端末,EXT_NO_CONTACT_A;EXT_UNCERTAIN_B;EXT_REMOTE_GEO_C
中心,USER_ORIGIN_MINI1
bridge,USER_BRIDGE_15G
外部重要補強,EXT_NO_CONTACT_A / EXT_REMOTE_GEO_C / EXT_UNCERTAIN_B
境界,causal proof / attribution proof / server-side proof ではない
