device,date,role,evidence_suppression_verdict,evidence_suppression_score,reason_flags,final_tier_40b,support_class_40b,trust_lineage_verdict_43,backup_manifest_verdict_44,proximity_cloud_verdict_45,triald_direct_0804_from43,raw_evidence_pressure_from40b,csv_evidence_pressure_from40b,evidence_source_hits_39b_0804,evidence_source_files_39b_0804,evidence_source_kind_count_0804,jetsam_memory_pressure_hits_0804,diskwrites_storage_pressure_hits_0804,logd_deleted_retirement_hits_0804,reset_watchdog_failure_hits_0804,cpu_resource_pressure_hits_0804,sysdiagnose_stacks_context_hits_0804,power_thermal_evidence_context_hits_0804,backup_manifest_failure_context_hits_0804,screen_capture_recording_context_hits_0804,rtcr_reporting_context_hits_0804,claim_boundary
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,104.225,evidence_pressure_present;jetsam_memory;diskwrites_storage;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,NO,5845,0,5845,53,7,28,3,0,0,6,0,38,0,0,5668,local_evidence_pressure_overlap_not_intent_or_suppression_proof
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,99.867,evidence_pressure_present;jetsam_memory;diskwrites_storage;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,5275,33651,5275,67,5,63,4,0,0,41,0,0,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_EVIDENCE_SUPPRESSION_SHADOW_SUPPORTED,83.657,evidence_pressure_present;jetsam_memory;cpu_resource;sysdiagnose_stacks_self_debug_possible;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,1794,11410,898,55,5,19,0,0,0,6,784,34,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,77.085,evidence_pressure_present;jetsam_memory;diskwrites_storage;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,YES,592,6751,592,18,6,55,2,0,0,2,0,214,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,73.953,evidence_pressure_present;jetsam_memory;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,YES,883,4676,883,33,5,25,0,0,0,8,0,24,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,70.659,evidence_pressure_present;jetsam_memory;diskwrites_storage;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,NO,333,18576,333,44,4,269,3,0,0,4,0,0,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,70.117,evidence_pressure_present;cpu_resource;sysdiagnose_stacks_self_debug_possible;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,881,3474,881,9,4,0,0,0,0,3,841,31,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,67.37,evidence_pressure_present;jetsam_memory;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,316,5311,316,20,5,7,0,0,0,3,0,128,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,57.961,evidence_pressure_present;jetsam_memory;sysdiagnose_stacks_self_debug_possible;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,NO,264,2,264,4,4,13,0,0,0,0,231,0,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,66.824,evidence_pressure_present;jetsam_memory;cpu_resource;trust_lineage_overlay;backup_manifest_overlay;proximity_cloud_overlay;triald_direct_overlay,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,YES,240,6423,240,20,5,86,0,0,0,4,0,23,0,0,0,local_evidence_pressure_overlap_not_intent_or_suppression_proof
