device,date,role,final_class_48,final_meaning,bounded_final_score_not_probability,layer_count_7,strong_layer_count_7,raw_only_downweighted,cloud_or_trust_separation_needed,cluster_core_40b,trial_broad_42,triald_direct_42b43,trust_lineage_43,backup_manifest_44,proximity_cloud_context_45,evidence_pressure_46,control_stress_47,normal_explanation_pressure_47,40b_final_tier,40b_support_class,42_trial_overlap_verdict,42b_direct_verdict,43_trust_lineage_verdict,44_backup_manifest_verdict,45_proximity_cloud_verdict,46_evidence_suppression_verdict,layers_present,strong_layers
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_FINAL_ORIGIN_CORE_MULTI_LAYER_SUPPORTED,起点端末として多層重なりが成立。,100.0,7,6,NO,NO,YES,YES,YES,YES,YES,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;evidence_pressure_46
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_MINUS_FINAL_BRIDGE_SUPPORTED_BACKUP_WEAK,後続Jokerへのbridgeとして支持。ただしbackup_manifestは弱い。,82.0,6,5,NO,NO,YES,YES,YES,YES,NO,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;evidence_pressure_46
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,多層重なりが強く成立。,92.0,7,6,NO,NO,YES,YES,YES,YES,YES,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,A_EVIDENCE_SUPPRESSION_SHADOW_SUPPORTED,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;evidence_pressure_46
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,多層重なりが強く成立。,72.0,6,4,NO,NO,YES,YES,YES,YES,NO,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,多層重なりが強く成立。,92.0,7,6,NO,NO,YES,YES,YES,YES,YES,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;evidence_pressure_46
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_MINUS_FINAL_RAW_ONLY_EXTERNAL_CRITICAL_REVIEW,raw-only外部重要点として維持。ただしRTCReporting偏重とCSV echo欠落により過大主張禁止。,58.0,6,3,YES,YES,YES,YES,NO,YES,YES,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,C_RAW_TRIAL_PRESENT_WEAK_CONTEXT,C_CORE_NO_TRIALD_DIRECT_0804,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,cluster_core_40b;trial_broad_42;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;proximity_cloud_45;evidence_pressure_46
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_FINAL_MULTI_LAYER_SUPPORTED,多層重なりが強く成立。,83.0,6,5,NO,YES,YES,YES,YES,YES,NO,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;evidence_pressure_46
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_MINUS_FINAL_REMOTE_GEO_SEPARATED_REVIEW,地理分離側の外部重要点として維持。,97.0,7,6,NO,YES,YES,YES,YES,YES,YES,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,B_CORE_WITH_TRIALD_CPU_DIRECT_ONLY,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_FINAL_MULTI_LAYER_SUPPORTED,多層重なりが強く成立。,78.0,6,5,NO,NO,YES,YES,YES,YES,NO,YES,YES,CLUSTER_PATTERN_PRESENT,HIGH,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;evidence_pressure_46
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_FINAL_MULTI_LAYER_SUPPORTED_WITH_WEAK_EDGE,多層重なりは支持。ただし一部層が弱い。,66.0,6,3,NO,NO,YES,YES,NO,YES,YES,YES,YES,CLUSTER_PATTERN_SUPPORTED,MEDIUM,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_RAW_CSV_TRIAL_OVERLAP,C_CORE_NO_TRIALD_DIRECT_0804,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,cluster_core_40b;trial_broad_42;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46,cluster_core_40b;trial_broad_42;evidence_pressure_46
