device,role,40b_final_tier,42b_direct_verdict,meaning
USER_ORIGIN_MINI1,ORIGIN_CORE,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,D_CSV_ONLY_NOT_DECISION,NO_TRIALD_DIRECT_0804,主判定外。
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,C_CORE_NO_TRIALD_DIRECT_0804,40b coreだがdirect trialdなし。42の広いTrial supportは非direct由来として扱う。
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,B_CORE_WITH_TRIALD_CPU_DIRECT_ONLY,triald.cpu_resourceのみ。proactive_event_trackerではないため補助扱い。
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,direct proactive trialdあり。42の広いTrial overlapをdirect側で補強。
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,C_CORE_NO_TRIALD_DIRECT_0804,40b coreだがdirect trialdなし。42の広いTrial supportは非direct由来として扱う。
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,C_CORE_NO_TRIALD_DIRECT_0804,40b coreだがdirect trialdなし。42の広いTrial supportは非direct由来として扱う。
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,D_CSV_ONLY_NOT_DECISION,NO_TRIALD_DIRECT_0804,主判定外。
